ID,Tweet Text,Relevance,Information Type,Event
[1066474739886100487],"['كما قامت #بلدية_محافظة_الليث بتوزيع العديد من المعدات على المناطق الحرجة، والتي تعمل حاليًا على فتح الطرق وإزالة مخلفات السيول المنقولة. https://t.co/uDOPTxqJ2l']",Related,Donations and volunteering,Al Lith floods
[1066474655358353409],['#الليث_الان\nصور من أمطار الليث حصري https://t.co/LY2mbwkEa4'],Related,Not applicable,Al Lith floods
[1066474486235611136],['#عاجل | 🔴⛈️\nشاهد الفيديو: سيول منقولة تندفع نحو بعض أحياء #الليث والأمن يستنفر \n\nتابعونا بكُل جديد في عالم الطقس 👈@ArabiaWeatherSA\n#ساعه_استجابه https://t.co/zhupyFL18S'],Related,Infrastructure and utilities damage,Al Lith floods
[1066474222459990016],['@Rshaed @QiyasCare @QiyasOnline انا جيت من برا المنطقة ولا وصلني اي اشعار و استنيت برا مكان الاختبار ولا في اي احد يعطينا خبر وحتى مافي شبكه عشان الواحد يفهم ولا وصلت لي رسالة.. اتمنى الموعد الجديد يوصل للكل مو اُناس مُعينة.. الليث مو الحي الي جنبي 😁'],Not related,Not applicable,Al Lith floods
[1066474139568037890],['@mansour_y حتى انا تعودت ويوم شفت سيول الليث تعوذت'],Related,Not applicable,Al Lith floods
[1066473950480293888],['من أرض الحدث بسد وادي الليث https://t.co/OpJJSBAylO'],Related,Not applicable,Al Lith floods
[1066473015867772929],"['مؤكد:\n\nتعليق الدراسة ليوم غداً الأحد\nفي المؤسسة العامة للتدريب التقني والمهني\nفي محافظة  الليث ""\n\nإجازة سعيدة..\n\nأنشرها لتصل لغيرك..']""",Related,Caution and advice,Al Lith floods
[1066472606528937984],['@majnoni41 @allyth64_ انتبهوا على اولادكم لا ترسلونهم والله الوضع خطير يومين كذا لين تشوفون الأوضاع وادي الليث يجلس سيلوه ثلاث ايّام وممكن اربعه وباقي منتهى'],Related,Caution and advice,Al Lith floods
[1066472534432976902],['أنت العلي الذي فوق العلا رفعا\nببطن مكةوسط البيت إذوضعا\nسمتك أمك بنت الليث حيدرة\nأكرم بلبوةليث أنجبت سبعا\n#متباركين 🎉 https://t.co/Mig4DwO0mG'],Not related,Not applicable,Al Lith floods
[1066472164780593152],['🔴عاجل\nوصول سيول منقوله من الطايف ووادي بني يزيد على #وادي_الليث \nنرجو اخذ الحيطة والحذر.\nونحن معكم في اي تفاصيل قادمه حفظ الله الجميع.'],Related,Caution and advice,Al Lith floods
[1066472148263469056],['نشكر الجهات الحكومية على تعاونهم مع الحدث الذي اصاب محافظة الليث خاص الدفاع المدني وتحذير الموطنين من السيل الذي مر المحافظة ولا نسى فرقة ساند من جدة على تعاونهم الدائم نحمد الله على كل حال https://t.co/ZEYK0JidZn'],Related,Caution and advice,Al Lith floods
[1066471489443164161],['@samadan1 اسال الله ان يرحمه ويجزل له الثواب \n\n#الليث'],Not related,Not applicable,Al Lith floods
[1066471388079448064],"['شاهد .. كيف أنقذ أحد أفراد حرس الحدود أسرة سعودية من السيل في كليبية الليث"". \n\nhttps://t.co/tUuIYSeUku https://t.co/7sP8pf6pNs']""",Related,Affected individuals,Al Lith floods
[1066471345058394112],"['مكونة من المالية"" و""المدني"" والمحافظة بمشاركة الشرطة.. وتم إسكان 250 أسرة.. \n“أمير #مكة” يوجّه بتشكيل لجنة للإيواء بمحافظة الليث عقب أضرار #الأمطار. \n\nhttps://t.co/h3bGT26E1B https://t.co/2mMxT2hsZE']""",Related,Donations and volunteering,Al Lith floods
[1066470975418654721],['#انهيار_سد_وادي_الليث \nانهيار للجانب العلوي من سد وادي الليث المؤدي للمحافظة من سيول قرى شرق الليث والأودية المنحدرة من محافظة الطائف  والجهات المعنية حاضره برئاسة محافظ الليث/ محمد القبّاع والجهات الاخرى واحتمالية اخلاء محافظة الليث من الخطر.\nأسأل الله ان يحفظ الليث وأهلها. https://t.co/1blloBlKeQ'],Related,Infrastructure and utilities damage,Al Lith floods
[1066470674267557888],['@guncoop011 الليث الله يحفظكم الليث الليث ألف لام لام ياء ثاء الليث'],Related,Sympathy and emotional support,Al Lith floods
[1066470655091228672],"['▫#صحيفة_خليص \n.\n.\n📸 #فيديو ،،،\n.\n⬅ في منظر مٌهيب سيل وادي #الليث بعد انكسار السد ..\n\nاللهم احفظ أهلنا واخواننا في الليث واجعلها أمطار خير وبركة يارب .\n.اللهم اعذهم من شر الغرق والهدم ..\n@UloomAlmtar \n#سيل_وادي_الليث #الليث_الان #رغد #موسم_الامطار #امطار_الليث https://t.co/PDJUhaHEfr']",Related,Infrastructure and utilities damage,Al Lith floods
[1066470603991977990],['هكذا بدا محيط الكلية الجامعية بـ #الليث اليوم https://t.co/LmZOaT02DY'],Related,Infrastructure and utilities damage,Al Lith floods
[1066470414317223942],['شاهد الآثار التي خلفتها سيول الليث الهادرة.. الموقع جنوب الليث.. @alamattaqs https://t.co/tiYlddxaK9'],Related,Infrastructure and utilities damage,Al Lith floods
[1066470410580082688],['إذا رَأيْتَ نُيُوبَ اللّيْثِ بارِزَةً***فَلا تَظُنّنّ أنّ اللّيْثَ يَبْتَسِمُ'],Not related,Not applicable,Al Lith floods
[1066470343097888770],['وسط محافطة #الليث_الان https://t.co/h2sraMmT5N'],Not related,Not applicable,Al Lith floods
[1066470271874449408],['@makkahregion يا أمير مكة حفظك الله لا نريد اعاشة نريد مشروع ينجز ونريد قطع يد الفساد نريد محافظة تليق بمكة وبأميرها نريد محافظة تواكب العالم الأول مثل ما تريد نريد محافظة برؤية 2030 يا أمير مكة هل تعلم بأن مشاريع محافظة الليث متعثرة لأكثر من 20 عام منها السد والمستشفى وغيرها كثير يا أمير مكة https://t.co/41qvi0W1v2'],Related,Caution and advice,Al Lith floods
[1066470148826169344],"['السيول تعلق التدريب بـتقنية #الليث"" غداً https://t.co/019xyyNCZ3']""",Related,Infrastructure and utilities damage,Al Lith floods
[1066470117595377664],['بسبب الأحوال الجوية.. تأجيل اختبار #قياس في #الليث. https://t.co/IHtKF4OHQI'],Related,Caution and advice,Al Lith floods
[1066470096124678144],['انقطاع الطرق والكهرباء والاتصالات.. والمياه تحاصر المدارس في #الليث ومطالبات بتعليق الدراسة غداً في المناطق المتضررة من الأمطار. https://t.co/b5LLDAhRhi'],Related,Infrastructure and utilities damage,Al Lith floods
[1066469784349483008],['@drsoad1973 @Nawal_non كلية الليث وتم تأجيل الاختبار القياس https://t.co/EtENXiJglS'],Related,Caution and advice,Al Lith floods
[1066469486126145536],['دعواتكم لأهل #الليث.. ياربي لطفك بعبادك يارب.. السيول تداهم الليث.. اللهم سلم سلم.. https://t.co/oGchuX6FKa'],Related,Sympathy and emotional support,Al Lith floods
[1066469452496154624],['@hanger112 @makkahregion الحقيقه ما حصل من اضرار كبيره بالطرق وما حصل بمحافظة الليث من دخول السيل اليها ربما سبب شلل كامل في عدم تلبية احتياجات بني يزيد بالشكل السليم ولكن نتمنى حقيقه بوضع معدات خاصه ببني يزيد بالذات في مواسم الامطار تحت الجاهزيه في اى لحظه بدلا بالاستعانه بمن يستحق الاستعانه هو كذلك'],Related,Caution and advice,Al Lith floods
[1066468940568846336],['#الليث_الان\nمن المسؤول عن مآساة ليلة البارحة ياترى \nهل هو منفذ السد الذي استمر المشروع مايقارب١٨عاما ولازال تحت التنفيذ  أم وزارة المياه التي تساهلت في متابعة المشروع \nومقابل ماذ هذا التأخير في التنفيذ والتهاون'],Related,Infrastructure and utilities damage,Al Lith floods
[1066468873636143104],['#الليث_الان\n١٤١٣سيول اجتاحت مدينتي الجميلة \n   وتكررت المآساة بعد٢٧عاماً \nهل تستحق الليث هذا الإهمال من المسؤولين'],Related,Infrastructure and utilities damage,Al Lith floods
[1066468449445126150],['#الليث_الان \nفساد إداري  يعقبه فساد إداري هذه نتائجه👇🏻 https://t.co/jySrzt9n83'],Related,Infrastructure and utilities damage,Al Lith floods
[1066468283036196864],['زامل قوة القوة ..\n\nواحجز مكاني في خطوط السفر يا لابتي ..\nسايروني فوق طقم المدد ذلحين  ..\n\nبالمونتاج《  شامخ كياني 》\nأداء المنشد المبدع عيسى الليث \nكلمات الشاعر عبدالسلام المتميز https://t.co/2yfcpVN7UC'],Not related,Not applicable,Al Lith floods
[1066467822719639552],['▫️#صحيفة_خليص \n.\n.\n🔗 إمارة #مكة: لجنة حصر أضرار الأمطار في محافظة #الليث تباشر تسكين المتضررين وتقدم الإعاشة لهم\n.\n.\n#السعودية #مكة_المكرمة #الليث #جدة #خليص #امطار_الليث #سيول_الليث https://t.co/AWi1WZg7U8'],Related,Affected individuals,Al Lith floods
[1066467767396835328],['@MEWAspokesman هذا المقطع قبل ٣ سنوات\nشرح هذا الشاب حال سد #الليث بأسلوبه https://t.co/rcWksoH9dS'],Related,Caution and advice,Al Lith floods
[1066467757531779077],"['#اضواء_الوطن | أهالي مركز بني يزيد""شرق محافظة الليث يناشدون سرعة التدخل لإنقاذهم\nhttps://t.co/fSAsKH4IQF']""",Related,Affected individuals,Al Lith floods
[1066467567609495553],['#الليث_الان\nياااااااااا ناسسسس قياس ايش الهرجه في الاختبار بكررره مافي اي احساس نهائي طيب لوشوي بس قولوا في ناس جايه  م بعيد وسفر لمنطقه امطار وسيول ووضعها مايطمن لاهلها حتى\n@QiyasOnline'],Related,Affected individuals,Al Lith floods
[1066467475515158529],['إمارة مكة المكرمة :\n\nتم تسكين المتضررين من الأمطار في #الليث وتقديم الإعاشة لهم من قِبل لجنة حصر الأضرار.\n.\n#السعودية #مكة #الليث'],Related,Donations and volunteering,Al Lith floods
[1066467255482023942],['ماحدث في #بني_يزيد  مهيب جداً وتاريخي \nادت الي انهيارات في سد وادي #الليث https://t.co/GLIBXbRTg9'],Related,Infrastructure and utilities damage,Al Lith floods
[1066467116218503169],['الاخ نايف الفهمي احد منسوبي الدفاع المدني قام بعمل جبار اثناء انقاذه لعدد مايقارب 11 شخص ف سيول وادي الليث يستاهل التكريم https://t.co/qNaiMY8HZ1'],Related,Affected individuals,Al Lith floods
[1066466596309344256],['#الليث\nالحمد لله على كل حال. https://t.co/IxtmrARmKZ'],Not related,Not applicable,Al Lith floods
[1066466480319946752],['فيديو: طيران الأمن ينقذ عددا من المحتجزين في سيول وادي الليث. https://t.co/pDQEJzcDH9'],Related,Affected individuals,Al Lith floods
[1066466214329937921],['🔴 فيديو\n\nاهالي الليث يتجولون بالقوارب في شوارع المحافظة بعد وصول سيول منقولة اليها ليلة البارحة . https://t.co/lPlsMyomay'],Related,Affected individuals,Al Lith floods
[1066466177965277184],['البيئة تكشف حقيقة انهيار سد الليث جراء الأمطار | فيديو\nhttps://t.co/XImqDA2nLK'],Related,Infrastructure and utilities damage,Al Lith floods
[1066466175238967299],"['إشارة إلى الأخبار والصور المتداولة حول سد #الليث، تؤكد الوزارة أن السد لايزال تحت التنفيذ ولا توجد أي معوقات له، وأن مايتم تداوله من أخبار وصور هي لحاجز  الحماية الترابي المؤقت المعمول لحماية مكان تنفيذ السد الرئيسي.']",Related,Caution and advice,Al Lith floods
[1066465763639402496],['الى شعب #السعودية وكل شرفاء  العرب التصويت عاجلاً للسنعوسي الذي نقل حياته على كفه وخاطر مع الجنود البواسل في حربنا مع #الحوثي #الهلال_الفيَصلي  #النصر #الاهلي #الليث  #الاتحاد #خالد_عبدالرحمن_في_نجم_السعوديه #نصراويين_نرفض_التأجيل #البحرين_تنور_بمحمد_بن_سلمان #مظاهرات_باريس https://t.co/rr2JzvP597'],Not related,Not applicable,Al Lith floods
[1066465698225025024],['هذا الزامل مثل الهيروين اتحداك ما تتولع به\n ( قسم ما ننحني ) || عيسى الليث - 1439هـ || \nhttps://t.co/Oulyudm5OQ'],Not related,Not applicable,Al Lith floods
[1066465688309637122],['🔴 \nفيديو\n.\n.  \n السيول الهادرة في وادي #الليث \n الجمعة ١٥-٣-١٤٤٠هـ\n #رغد #وسم1440 #وسم_40 \n.\n. https://t.co/4cy5JGieEK'],Related,Other useful information,Al Lith floods
[1066465536710709251],['غوّاصون واحتجازات.. 150 فرداً من فريق السلام للإنقاذ يباشرون عملهم بـ #الليث\n\nhttps://t.co/hcYanh3wh9 https://t.co/VLHptRgZFa'],Related,Affected individuals,Al Lith floods
[1066465510739595265],['وادي ذراء احد الأودية الكبيرة التي تصب بالليث دون المرور بسد وادي الليث   #الليث https://t.co/5QTAvg559i'],Related,Not applicable,Al Lith floods
[1066465455169261569],['@sabqorg جيبوا مقطع لليث حقيقي مدري من فين جايبين هذا المقطع مو من الليث 😐🤔\n\n#سبق #الليث #سيول'],Not related,Not applicable,Al Lith floods
[1066465164755681281],['اللهم أحفظ مدينتي مدينة الليث وكل من فيها من شر السيول اللهم سقيا رحمة لا سقيا عذاب ولا هدم ولا غرق'],Related,Sympathy and emotional support,Al Lith floods
